from_esr;from_name;to_esr;to_name
27520;ОП Сонозеро;27516;ОП Сельга
27619;ОП Муезерка;27709;Ледмозеро
27709;Ледмозеро;27728;ОП Хижозеро
27709;Ледмозеро;27732;Ледмозеро II
27713;Кимасозеро (рзд);27802;Костомукша-Товарная
27728;ОП Хижозеро;28326;ОП Боровая
27732;Ледмозеро II;27713;Кимасозеро (рзд)
27732;Ледмозеро II;27747;Пертозеро
27747;Пертозеро;12008;Кочкома
27802;Костомукша-Товарная;27906;Костомукша-Пассажирская
27906;Костомукша-Пассажирская;28006;Кивиярви
28006;Кивиярви;28100;Кивиярви (эксп.)
;;;
;;;
28326;ОП Боровая;28311;ОП Юшкозеро
28504;Бусловская;21401;Бусловская (эксп.)
30006;Санкт-Петербург-Сорт.-Московский;31009;Обухово
;;;
30114;ОП Ост. Пункт 11 км;30107;Невдубстрой
30129;ОП Грибное;30114;ОП Ост. Пункт 11 км
30133;ОП Ост. Пункт 6 км;30129;ОП Грибное
30148;ОП Ост. Пункт 4 км;30133;ОП Ост. Пункт 6 км
30203;Мга;48480;ОП Михайловская
;;;
;;;
30203;Мга;30148;ОП Ост. Пункт 4 км
;;;
30218;ОП Ост. Пункт 45 км;30203;Мга
30222;Горы;30608;Пелла
30222;Горы;30218;ОП Ост. Пункт 45 км
;;;
30237;Войтоловка;30203;Мга
30400;Павлово-на-Неве;30222;Горы
30415;ОП Геройская;30400;Павлово-на-Неве
30426;ОП Островки;30449;ОП Ост. пункт 26 км
30434;ОП Ост. Пункт 20 км;30426;ОП Островки
30449;ОП Ост. пункт 26 км;30415;ОП Геройская
30504;Манушкино;30434;ОП Ост. Пункт 20 км
30523;ОП Колтуши;30542;ОП Ост. Пункт 16 км
30538;ОП Мяглово;30557;ОП Ост. Пункт 11 км
30542;ОП Ост. Пункт 16 км;30504;Манушкино
30557;ОП Ост. Пункт 11 км;30523;ОП Колтуши
30561;ОП Ост. Пункт 7 км;30538;ОП Мяглово
30576;ОП Ост. Пункт 5 км;30561;ОП Ост. Пункт 7 км
30580;ОП Ост. Пункт 2 км;30576;ОП Ост. Пункт 5 км
;;;
30608;Пелла;30612;ОП Ивановская
30612;ОП Ивановская;30627;ОП Усть-Тосненская
30627;ОП Усть-Тосненская;30701;Саперная
30701;Саперная;30716;ОП Понтонная
30716;ОП Понтонная;30805;Ижоры
30805;Ижоры;30909;Рыбацкое
30909;Рыбацкое;31009;Обухово
31009;Обухово;31634;Славянка
;;;
;;;
31009;Обухово;31013;ОП Фарфоровская
31013;ОП Фарфоровская;30006;Санкт-Петербург-Сорт.-Московский
31013;ОП Фарфоровская;37109;Дача Долгорукова
31032;ОП Навалочная;37043;ОП Ост. пункт 5 км
31206;Ушаки;42516;ОП Георгиевская
31225;ОП Зареченская;31526;Нурма
31302;Тосно;31206;Ушаки
31302;Тосно;31225;ОП Зареченская
;;;
31314;ОП Тосно II;31302;Тосно
31333;Саблино;31314;ОП Тосно II
31348;ОП Поповка;31333;Саблино
31352;ОП Ост. Пункт 39 км;31302;Тосно
31371;ОП Ост. Пункт 36 км;31352;ОП Ост. Пункт 39 км
;;;
31511;ОП Ост. Пункт 13 км;31507;Шапки
31526;Нурма;31511;ОП Ост. Пункт 13 км
31600;Колпино;31348;ОП Поповка
31615;ОП Ижорский Завод;31600;Колпино
31621;ОП Металлострой;31615;ОП Ижорский Завод
31634;Славянка;31621;ОП Металлострой
31808;Санкт-Петербург-Тов.-Московский;31812;Санкт-Петербург-Главный
31812;Санкт-Петербург-Главный;31032;ОП Навалочная
32105;Пустынька;30237;Войтоловка
32112;ОП Ост. Пункт 22 км;32105;Пустынька
32124;ОП Княжелисино;32112;ОП Ост. Пункт 22 км
;;;
32139;Стекольный;32124;ОП Княжелисино
32139;Стекольный;31371;ОП Ост. Пункт 36 км
32143;ОП Ост. Пункт 29 км;32139;Стекольный
32302;Новолисино;41072;ОП Ост. Пункт 46 км
;;;
32302;Новолисино;32143;ОП Ост. Пункт 29 км
32317;ОП Ост. пункт 40 км;32302;Новолисино
32321;ОП Ост. Пункт 36 км;32317;ОП Ост. пункт 40 км
;;;
32336;Владимирская;32302;Новолисино
;;;
32355;Кобралово;59108;Семрино
32355;Кобралово;32336;Владимирская
32365;ОП Платформа 34 км;32321;ОП Ост. Пункт 36 км
32406;Антропшино;32355;Кобралово
;;;
32508;Павловск;32406;Антропшино
32508;Павловск;32365;ОП Платформа 34 км
32707;Царское Село;32508;Павловск
32711;ОП Детскосельская;32707;Царское Село
32904;Шушары (эксп.);33004;Шушары
32995;ОП Паровозный Музей;32711;ОП Детскосельская
33004;Шушары;32995;ОП Паровозный Музей
;;;
;;;
33023;ОП Купчино;32904;Шушары (эксп.)
33038;ОП Проспект Славы;33023;ОП Купчино
33042;ОП Воздухоплавательный Парк;33038;ОП Проспект Славы
33057;ОП Боровая;33042;ОП Воздухоплавательный Парк
33061;Санкт-Петербург-Витебский;33057;ОП Боровая
33108;Купчинская;33305;Купчинская (эксп.)
33305;Купчинская (эксп.);33409;Волковская
33409;Волковская;33413;Глухоозерская
33413;Глухоозерская;33606;Дача Долгорукова (перев.)
33502;Санкт-Петербург-Товарный-Витебский;33004;Шушары
33606;Дача Долгорукова (перев.);34909;Среднерогатская
33803;Фрезерный;33822;ОП Саборы
33803;Фрезерный;72719;Разъезд 47 км
33822;ОП Саборы;33837;ОП Ост. Пункт 13 км
33837;ОП Ост. Пункт 13 км;33841;ОП Ост. Пункт 14 км
33841;ОП Ост. Пункт 14 км;32336;Владимирская
;;;
;;;
34007;Гатчина-Товарная-Балтийская;74305;Войсковицы
34007;Гатчина-Товарная-Балтийская;33803;Фрезерный
;;;
34026;Гатчина-Варшавская;72719;Разъезд 47 км
34026;Гатчина-Варшавская;34007;Гатчина-Товарная-Балтийская
34030;ОП Татьянино;34026;Гатчина-Варшавская
34045;ОП Мозино;34030;ОП Татьянино
34051;ОП Старое Мозино;34045;ОП Мозино
34100;Гатчина-Пассажирская-Балтийская;34007;Гатчина-Товарная-Балтийская
34115;ОП Мариенбург;34100;Гатчина-Пассажирская-Балтийская
34128;Пудость;34115;ОП Мариенбург
34204;Тайцы;34128;Пудость
34219;ОП Дудергоф;34204;Тайцы
34308;Красное Село;34219;ОП Дудергоф
34312;ОП Скачки;34308;Красное Село
34401;Горелово;34312;ОП Скачки
34505;Лигово;34401;Горелово
34505;Лигово;75628;ОП Сосновая Поляна
;;;
34513;ОП Ульянка;34505;Лигово
34524;ОП Дачное;34513;ОП Ульянка
34702;Верево;34051;ОП Старое Мозино
34717;ОП Кондакопшино;34702;Верево
34806;Александровская;34717;ОП Кондакопшино
34810;Шоссейная;34806;Александровская
;;;
34825;ОП Аэропорт;34810;Шоссейная
34909;Среднерогатская;35004;Предпортовая
